BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,OriginatingSystemName,OriginatingSystemSubName
OrangeCounty,OrangeCounty,,True,,,False,1240000.0,1156622452,2026-03-31,1240000.0,Tarah,Walker,33.85209,-118.045009,5337 Andrew Dr,Residential,1980.0,1240000.0,0,"eXp Realty of Greater Los Angeles, Inc.","eXp Realty of Greater Los Angeles, Inc.",,Tarah Walker,,,OCWALKTAR,Tarah,Walker,,,,1156622452,81 - La Palma,,Orange,Closed,,True,2.0,,SingleFamilyResidence,0.1148,Ponderosa Homes (PON),OrangeCounty,1973,5337,OC26070067,2,La Palma,,,3,2026-03-31,,,2026-03-31,2026-03-31,,,CA,,,True,2,,Two,,5000.0,1,False,2.0,Anaheim Union High,90623,0.0,5000.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,"Carpet,Tile,Wood",True,,,,,1156586039,2026-03-30,2650000.0,Melody,Russell,37.07291357,-122.00341325,40 Deerfield Drive,Residential,2973.0,2650000.0,0,eXp Realty of California Inc,Room Real Estate,,Melody Russell,,,ML5087123,Jen,Nielsen,,Monthly,,1156586039,699 - Not Defined,,Santa Cruz,Closed,Other,True,2.0,,SingleFamilyResidence,0.24,,Mlslistings,2006,40,ML82041291,4,Scotts Valley,,,4,2026-03-30,,,2026-03-30,2026-03-30,,,CA,,Scotts Valley,True,,Other,,,10454.0,,False,3.0,Other,95066,255.0,10454.0,,CRMLS,CRMLS_MLSL
PacificWest,PacificWest,,False,,,False,850000.0,1156584232,2026-03-31,830000.0,KJ,Ticehurst,33.862645,-118.140949,4414 4414 Arabella Street,Residential,1116.0,850000.0,0,Think Boutiq Real Estate,Think Boutiq Real Estate,,KJ Ticehurst,,,pwtickri,KJ,Ticehurst,,,,1156584232,MAYF - Mayfair,,Los Angeles,Closed,,False,2.0,,SingleFamilyResidence,0.1443,Lakewood Park/North of Del Amo (LND),PacificWest,1944,4414,PW26032792,2,Lakewood,,,3,2026-03-31,,,2026-02-26,2026-02-10,,,CA,,,False,1,,One,,6285.0,3,False,2.0,Bellflower Unified,90712,0.0,6285.0,,CRMLS,CRMLS_CRM
SanDiego,SanDiego,,False,,,,55000.0,1156579815,2026-03-26,55000.0,Brandon,Long,,,0 Old Highway 80,Land,,55000.0,0,Regional Realty & Investments Inc.,Regional Realty & Investments Inc.,,Brandon Long,,,SAND-627900,Brandon,Long,,,,1156579815,91934 - Jacumba,,San Diego,Closed,,,0.0,,,,Jacumba,SanDiego,,0,260007689SD,0,Jacumba,,,,2026-03-26,,,2026-03-04,2026-03-04,,,CA,,,,,,,,,,,,,91934,0.0,,,CRMLS,CRMLS_SAND
SanDiego,NorthSanDiegoCounty,,True,,,,10500000.0,1156578985,2026-03-05,10500000.0,Jason,Barry,33.061164,-117.199012,6219 Calle Ponte Bella,Land,,10500000.0,0,Barry Estates,Barry Estates,,Jason Barry,,,SAND-706172,Jason,Barry,,,,1156578985,92091 - Rancho Santa Fe,,San Diego,Closed,,,0.0,,,1.01,,SanDiego,,6219,NDP2603145,0,Rancho Santa Fe,,,,2026-03-05,,,2026-03-05,2026-03-04,,,CA,,,,,,,,1.01,,,,,92091,,43995.6,,CRMLS,CRMLS_CRP
Mlslistings,Mlslistings,,False,,,,,1156519194,2026-03-26,4650000.0,Ben,Gage,37.58973401,-122.37800934,1556 Balboa Way,Residential,2478.0,4650000.0,0,Gage Real Estate,Compass,,Ben Gage,,,ML306699,Emma,Elfving,,,,1156519194,699 - Not Defined,,San Mateo,Closed,,True,2.0,,SingleFamilyResidence,0.1263,,Mlslistings,1948,1556,ML82041223,4,Burlingame,,,4,2026-03-26,,,2026-03-26,2026-03-26,,,CA,,,True,,,,,5500.0,,False,2.0,Other,94010,,5500.0,,CRMLS,CRMLS_MLSL
SouthBay,SouthBay,,True,,,False,715000.0,1156508066,2026-03-31,715000.0,Bill,Ruane,33.929425,-118.416724,900 Cedar 210,Residential,1177.0,715000.0,0,Estate Properties,Estate Properties,,Bill Ruane,,,SRUANWIL,Bill,Ruane,,Monthly,,1156508066,141 - El Segundo,,Los Angeles,Closed,,True,2.0,,Condominium,0.8521,,SouthBay,1978,900,SB26069562,1,El Segundo,,,2,2026-03-31,,,2026-02-09,2026-02-05,,,CA,,,True,1,,One,,37116.0,2,False,2.0,El Segundo Unified,90245,600.0,37116.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,"Carpet,Wood",False,,,False,,1156507954,2026-03-30,660000.0,Jessica,Wallace,36.98280656,-121.93877679,,Residential,935.0,660000.0,0,Coldwell Banker Realty,eXp Realty of California Inc,,Jessica Wallace,,,ML5084527,Lila,Veik,,Monthly,,1156507954,699 - Not Defined,,Santa Cruz,Closed,,True,1.0,,Condominium,0.02,,Mlslistings,1977,,ML82041204,1,Capitola,,,2,2026-03-30,,,2026-03-30,2026-03-30,,,CA,,,True,,Soquel,,,871.0,,False,1.0,Other,95010,630.0,871.0,,CRMLS,CRMLS_MLSL
OrangeCounty,OrangeCounty,,True,,,False,7000000.0,1156502187,2026-03-30,7000000.0,Jody,Clegg,33.717571,-118.062011,16672 Somerset Lane,Residential,4894.0,7000000.0,0,Compass,Splash Real Estate,,Jody Clegg,,,OCGRIFKIM,Kimberly,Griffith,,,,1156502187,17 - Northwest Huntington Beach,,Orange,Closed,,True,3.0,,SingleFamilyResidence,0.1607,Gilbert Island (HGIL),OrangeCounty,1972,16672,OC26068906,4,Huntington Beach,,,4,2026-03-30,,Keith,2026-02-28,2026-02-17,,,CA,,,True,2,,Two,,7000.0,0,False,3.0,Huntington Beach Union High,92649,0.0,7000.0,,CRMLS,CRMLS_CRM
InlandValleys,InlandValleys,,True,,,False,595000.0,1156501420,2026-03-27,595000.0,SCOTT,GEE,34.125786,-117.530546,7065 Marigold Court,Residential,949.0,595000.0,0,REALTY MASTERS & ASSOCIATES,REALTY MASTERS & ASSOCIATES,,SCOTT GEE,,,IVWILSGRE,GREGORY,WILSON,,,,1156501420,688 - Rancho Cucamonga,,San Bernardino,Closed,Windrows,True,2.0,,SingleFamilyResidence,0.0803,,InlandValleys,1984,7065,IV26069478,2,Rancho Cucamonga,,,3,2026-03-27,,,2026-03-02,2026-02-20,,,CA,,Etiwanda,False,1,Rancho Cucamonga,One,,3500.0,3,False,2.0,Chaffey Joint Union High,91739,0.0,3500.0,,CRMLS,CRMLS_CRM
